date,crash
2010/1/1,122
2010/1/2,79
2010/1/3,99
2010/1/4,102
2010/1/5,112
2010/1/6,103
2010/1/7,87
2010/1/8,119
2010/1/9,103
2010/1/10,94
2010/1/11,104
2010/1/12,105
2010/1/13,129
2010/1/14,151
2010/1/15,140
2010/1/16,129
2010/1/17,159
2010/1/18,128
2010/1/19,137
2010/1/20,120
2010/1/21,139
2010/1/22,166
2010/1/23,106
2010/1/24,121
2010/1/25,128
2010/1/26,121
2010/1/27,131
2010/1/28,125
2010/1/29,127
2010/1/30,127
2010/1/31,108
2010/2/1,118
2010/2/2,129
2010/2/3,131
2010/2/4,127
2010/2/5,202
2010/2/6,135
2010/2/7,127
2010/2/8,110
2010/2/9,126
2010/2/10,107
2010/2/11,98
2010/2/12,137
2010/2/13,122
2010/2/14,133
2010/2/15,80
2010/2/16,126
2010/2/17,142
2010/2/18,107
2010/2/19,141
2010/2/20,124
2010/2/21,102
2010/2/22,113
2010/2/23,103
2010/2/24,133
2010/2/25,126
2010/2/26,140
2010/2/27,146
2010/2/28,105
2010/3/1,106
2010/3/2,102
2010/3/3,130
2010/3/4,143
2010/3/5,132
2010/3/6,169
2010/3/7,131
2010/3/8,113
2010/3/9,113
2010/3/10,122
2010/3/11,108
2010/3/12,136
2010/3/13,141
2010/3/14,110
2010/3/15,141
2010/3/16,125
2010/3/17,129
2010/3/18,120
2010/3/19,142
2010/3/20,151
2010/3/21,103
2010/3/22,143
2010/3/23,113
2010/3/24,130
2010/3/25,129
2010/3/26,130
2010/3/27,147
2010/3/28,116
2010/3/29,112
2010/3/30,101
2010/3/31,111
2010/4/1,126
2010/4/2,133
2010/4/3,129
2010/4/4,108
2010/4/5,131
2010/4/6,103
2010/4/7,128
2010/4/8,104
2010/4/9,120
2010/4/10,107
2010/4/11,106
2010/4/12,130
2010/4/13,138
2010/4/14,114
2010/4/15,108
2010/4/16,146
2010/4/17,122
2010/4/18,114
2010/4/19,122
2010/4/20,158
2010/4/21,114
2010/4/22,116
2010/4/23,118
2010/4/24,129
2010/4/25,115
2010/4/26,118
2010/4/27,115
2010/4/28,133
2010/4/29,107
2010/4/30,158
2010/5/1,140
2010/5/2,128
2010/5/3,127
2010/5/4,129
2010/5/5,104
2010/5/6,122
2010/5/7,140
2010/5/8,146
2010/5/9,110
2010/5/10,132
2010/5/11,111
2010/5/12,111
2010/5/13,125
2010/5/14,133
2010/5/15,129
2010/5/16,112
2010/5/17,98
2010/5/18,139
2010/5/19,118
2010/5/20,124
2010/5/21,142
2010/5/22,133
2010/5/23,96
2010/5/24,126
2010/5/25,106
2010/5/26,123
2010/5/27,113
2010/5/28,137
2010/5/29,114
2010/5/30,121
2010/5/31,120
2010/6/1,140
2010/6/2,129
2010/6/3,119
2010/6/4,116
2010/6/5,131
2010/6/6,115
2010/6/7,117
2010/6/8,125
2010/6/9,118
2010/6/10,107
2010/6/11,117
2010/6/12,113
2010/6/13,124
2010/6/14,100
2010/6/15,127
2010/6/16,112
2010/6/17,148
2010/6/18,144
2010/6/19,121
2010/6/20,109
2010/6/21,123
2010/6/22,110
2010/6/23,126
2010/6/24,125
2010/6/25,129
2010/6/26,119
2010/6/27,126
2010/6/28,125
2010/6/29,113
2010/6/30,104
2010/7/1,138
2010/7/2,137
2010/7/3,110
2010/7/4,114
2010/7/5,103
2010/7/6,110
2010/7/7,106
2010/7/8,101
2010/7/9,118
2010/7/10,122
2010/7/11,117
2010/7/12,113
2010/7/13,118
2010/7/14,125
2010/7/15,144
2010/7/16,132
2010/7/17,124
2010/7/18,126
2010/7/19,120
2010/7/20,122
2010/7/21,124
2010/7/22,120
2010/7/23,140
2010/7/24,127
2010/7/25,119
2010/7/26,103
2010/7/27,128
2010/7/28,114
2010/7/29,116
2010/7/30,133
2010/7/31,134
2010/8/1,117
2010/8/2,111
2010/8/3,130
2010/8/4,134
2010/8/5,125
2010/8/6,129
2010/8/7,114
2010/8/8,102
2010/8/9,119
2010/8/10,133
2010/8/11,112
2010/8/12,120
2010/8/13,132
2010/8/14,132
2010/8/15,102
2010/8/16,109
2010/8/17,125
2010/8/18,103
2010/8/19,108
2010/8/20,140
2010/8/21,135
2010/8/22,122
2010/8/23,132
2010/8/24,123
2010/8/25,100
2010/8/26,104
2010/8/27,119
2010/8/28,124
2010/8/29,108
2010/8/30,97
2010/8/31,118
2010/9/1,105
2010/9/2,106
2010/9/3,135
2010/9/4,125
2010/9/5,99
2010/9/6,92
2010/9/7,88
2010/9/8,106
2010/9/9,107
2010/9/10,141
2010/9/11,126
2010/9/12,122
2010/9/13,137
2010/9/14,138
2010/9/15,100
2010/9/16,129
2010/9/17,149
2010/9/18,141
2010/9/19,113
2010/9/20,121
2010/9/21,109
2010/9/22,96
2010/9/23,128
2010/9/24,147
2010/9/25,120
2010/9/26,125
2010/9/27,122
2010/9/28,105
2010/9/29,127
2010/9/30,124
2010/10/1,157
2010/10/2,150
2010/10/3,123
2010/10/4,181
2010/10/5,128
2010/10/6,159
2010/10/7,114
2010/10/8,119
2010/10/9,147
2010/10/10,112
2010/10/11,125
2010/10/12,130
2010/10/13,119
2010/10/14,97
2010/10/15,146
2010/10/16,114
2010/10/17,137
2010/10/18,111
2010/10/19,138
2010/10/20,126
2010/10/21,103
2010/10/22,140
2010/10/23,115
2010/10/24,124
2010/10/25,146
2010/10/26,113
2010/10/27,121
2010/10/28,140
2010/10/29,133
2010/10/30,152
2010/10/31,128
2010/11/1,144
2010/11/2,151
2010/11/3,129
2010/11/4,135
2010/11/5,131
2010/11/6,145
2010/11/7,146
2010/11/8,118
2010/11/9,109
2010/11/10,118
2010/11/11,117
2010/11/12,123
2010/11/13,134
2010/11/14,120
2010/11/15,124
2010/11/16,131
2010/11/17,116
2010/11/18,110
2010/11/19,144
2010/11/20,163
2010/11/21,114
2010/11/22,140
2010/11/23,118
2010/11/24,127
2010/11/25,73
2010/11/26,79
2010/11/27,122
2010/11/28,101
2010/11/29,131
2010/11/30,112
2010/12/1,134
2010/12/2,127
2010/12/3,141
2010/12/4,128
2010/12/5,121
2010/12/6,128
2010/12/7,131
2010/12/8,128
2010/12/9,127
2010/12/10,163
2010/12/11,132
2010/12/12,136
2010/12/13,122
2010/12/14,110
2010/12/15,120
2010/12/16,129
2010/12/17,219
2010/12/18,183
2010/12/19,169
2010/12/20,160
2010/12/21,165
2010/12/22,138
2010/12/23,133
2010/12/24,103
2010/12/25,96
2010/12/26,95
2010/12/27,101
2010/12/28,97
2010/12/29,94
2010/12/30,121
2010/12/31,122
2011/1/1,123
2011/1/2,90
2011/1/3,87
2011/1/4,106
2011/1/5,116
2011/1/6,112
2011/1/7,118
2011/1/8,102
2011/1/9,96
2011/1/10,105
2011/1/11,98
2011/1/12,126
2011/1/13,126
2011/1/14,141
2011/1/15,115
2011/1/16,117
2011/1/17,107
2011/1/18,137
2011/1/19,124
2011/1/20,131
2011/1/21,135
2011/1/22,114
2011/1/23,110
2011/1/24,104
2011/1/25,91
2011/1/26,109
2011/1/27,102
2011/1/28,109
2011/1/29,120
2011/1/30,102
2011/1/31,133
2011/2/1,121
2011/2/2,112
2011/2/3,129
2011/2/4,150
2011/2/5,121
2011/2/6,104
2011/2/7,116
2011/2/8,98
2011/2/9,134
2011/2/10,142
2011/2/11,155
2011/2/12,142
2011/2/13,117
2011/2/14,124
2011/2/15,134
2011/2/16,133
2011/2/17,125
2011/2/18,158
2011/2/19,183
2011/2/20,127
2011/2/21,92
2011/2/22,107
2011/2/23,109
2011/2/24,116
2011/2/25,171
2011/2/26,133
2011/2/27,108
2011/2/28,141
2011/3/1,127
2011/3/2,124
2011/3/3,124
2011/3/4,125
2011/3/5,131
2011/3/6,129
2011/3/7,123
2011/3/8,129
2011/3/9,123
2011/3/10,140
2011/3/11,138
2011/3/12,118
2011/3/13,118
2011/3/14,116
2011/3/15,142
2011/3/16,122
2011/3/17,115
2011/3/18,128
2011/3/19,128
2011/3/20,149
2011/3/21,146
2011/3/22,115
2011/3/23,134
2011/3/24,132
2011/3/25,149
2011/3/26,112
2011/3/27,122
2011/3/28,114
2011/3/29,119
2011/3/30,133
2011/3/31,159
2011/4/1,146
2011/4/2,134
2011/4/3,105
2011/4/4,129
2011/4/5,133
2011/4/6,94
2011/4/7,125
2011/4/8,146
2011/4/9,109
2011/4/10,111
2011/4/11,103
2011/4/12,108
2011/4/13,122
2011/4/14,127
2011/4/15,164
2011/4/16,128
2011/4/17,114
2011/4/18,123
2011/4/19,106
2011/4/20,114
2011/4/21,114
2011/4/22,127
2011/4/23,115
2011/4/24,105
2011/4/25,106
2011/4/26,106
2011/4/27,123
2011/4/28,143
2011/4/29,133
2011/4/30,144
2011/5/1,134
2011/5/2,135
2011/5/3,129
2011/5/4,116
2011/5/5,135
2011/5/6,143
2011/5/7,121
2011/5/8,128
2011/5/9,111
2011/5/10,129
2011/5/11,127
2011/5/12,132
2011/5/13,121
2011/5/14,121
2011/5/15,126
2011/5/16,93
2011/5/17,122
2011/5/18,117
2011/5/19,116
2011/5/20,121
2011/5/21,107
2011/5/22,104
2011/5/23,116
2011/5/24,115
2011/5/25,115
2011/5/26,125
2011/5/27,121
2011/5/28,110
2011/5/29,113
2011/5/30,95
2011/5/31,116
2011/6/1,122
2011/6/2,107
2011/6/3,164
2011/6/4,119
2011/6/5,114
2011/6/6,113
2011/6/7,128
2011/6/8,110
2011/6/9,111
2011/6/10,113
2011/6/11,93
2011/6/12,101
2011/6/13,131
2011/6/14,142
2011/6/15,125
2011/6/16,121
2011/6/17,137
2011/6/18,130
2011/6/19,99
2011/6/20,119
2011/6/21,117
2011/6/22,125
2011/6/23,127
2011/6/24,151
2011/6/25,140
2011/6/26,107
2011/6/27,117
2011/6/28,129
2011/6/29,117
2011/6/30,118
2011/7/1,154
2011/7/2,129
2011/7/3,99
2011/7/4,127
2011/7/5,123
2011/7/6,119
2011/7/7,105
2011/7/8,145
2011/7/9,131
2011/7/10,114
2011/7/11,116
2011/7/12,111
2011/7/13,101
2011/7/14,124
2011/7/15,147
2011/7/16,118
2011/7/17,120
2011/7/18,131
2011/7/19,141
2011/7/20,115
2011/7/21,124
2011/7/22,149
2011/7/23,134
2011/7/24,118
2011/7/25,114
2011/7/26,115
2011/7/27,109
2011/7/28,124
2011/7/29,138
2011/7/30,138
2011/7/31,113
2011/8/1,140
2011/8/2,145
2011/8/3,135
2011/8/4,133
2011/8/5,145
2011/8/6,135
2011/8/7,115
2011/8/8,121
2011/8/9,114
2011/8/10,115
2011/8/11,129
2011/8/12,141
2011/8/13,133
2011/8/14,132
2011/8/15,121
2011/8/16,116
2011/8/17,127
2011/8/18,129
2011/8/19,131
2011/8/20,146
2011/8/21,138
2011/8/22,113
2011/8/23,116
2011/8/24,107
2011/8/25,122
2011/8/26,129
2011/8/27,122
2011/8/28,129
2011/8/29,134
2011/8/30,109
2011/8/31,107
2011/9/1,127
2011/9/2,155
2011/9/3,103
2011/9/4,94
2011/9/5,107
2011/9/6,126
2011/9/7,155
2011/9/8,132
2011/9/9,149
2011/9/10,145
2011/9/11,121
2011/9/12,110
2011/9/13,130
2011/9/14,114
2011/9/15,145
2011/9/16,150
2011/9/17,127
2011/9/18,144
2011/9/19,117
2011/9/20,125
2011/9/21,134
2011/9/22,145
2011/9/23,139
2011/9/24,139
2011/9/25,95
2011/9/26,109
2011/9/27,144
2011/9/28,115
