date,accident
2012/7/1,119
2012/7/2,113
2012/7/3,150
2012/7/4,65
2012/7/5,107
2012/7/6,147
2012/7/7,98
2012/7/8,70
2012/7/9,104
2012/7/10,123
2012/7/11,110
2012/7/12,131
2012/7/13,128
2012/7/14,110
2012/7/15,108
2012/7/16,100
2012/7/17,137
2012/7/18,127
2012/7/19,118
2012/7/20,142
2012/7/21,120
2012/7/22,98
2012/7/23,109
2012/7/24,139
2012/7/25,131
2012/7/26,159
2012/7/27,145
2012/7/28,116
2012/7/29,84
2012/7/30,124
2012/7/31,122
2012/8/1,126
2012/8/2,123
2012/8/3,129
2012/8/4,125
2012/8/5,102
2012/8/6,113
2012/8/7,126
2012/8/8,117
2012/8/9,123
2012/8/10,139
2012/8/11,108
2012/8/12,109
2012/8/13,85
2012/8/14,129
2012/8/15,127
2012/8/16,136
2012/8/17,128
2012/8/18,116
2012/8/19,95
2012/8/20,89
2012/8/21,101
2012/8/22,105
2012/8/23,142
2012/8/24,135
2012/8/25,90
2012/8/26,93
2012/8/27,88
2012/8/28,102
2012/8/29,112
2012/8/30,123
2012/8/31,158
2012/9/1,93
2012/9/2,80
2012/9/3,60
2012/9/4,115
2012/9/5,132
2012/9/6,127
2012/9/7,163
2012/9/8,116
2012/9/9,99
2012/9/10,121
2012/9/11,103
2012/9/12,137
2012/9/13,135
2012/9/14,120
2012/9/15,134
2012/9/16,93
2012/9/17,115
2012/9/18,126
2012/9/19,130
2012/9/20,124
2012/9/21,137
2012/9/22,137
2012/9/23,97
2012/9/24,111
2012/9/25,130
2012/9/26,105
2012/9/27,130
2012/9/28,133
2012/9/29,109
2012/9/30,95
2012/10/1,104
2012/10/2,136
2012/10/3,115
2012/10/4,106
2012/10/5,151
2012/10/6,114
2012/10/7,96
2012/10/8,76
2012/10/9,112
2012/10/10,117
2012/10/11,140
2012/10/12,130
2012/10/13,128
2012/10/14,112
2012/10/15,126
2012/10/16,109
2012/10/17,116
2012/10/18,139
2012/10/19,158
2012/10/20,142
2012/10/21,73
2012/10/22,113
2012/10/23,97
2012/10/24,99
2012/10/25,119
2012/10/26,131
2012/10/27,117
2012/10/28,65
2012/10/29,59
2012/10/30,79
2012/10/31,118
2012/11/1,70
2012/11/2,63
2012/11/3,50
2012/11/4,62
2012/11/5,80
2012/11/6,104
2012/11/7,130
2012/11/8,92
2012/11/9,153
2012/11/10,81
2012/11/11,91
2012/11/12,115
2012/11/13,140
2012/11/14,131
2012/11/15,117
2012/11/16,124
2012/11/17,126
2012/11/18,76
2012/11/19,112
2012/11/20,148
2012/11/21,131
2012/11/22,58
2012/11/23,61
2012/11/24,86
2012/11/25,80
2012/11/26,104
2012/11/27,126
2012/11/28,109
2012/11/29,123
2012/11/30,122
2012/12/1,105
2012/12/2,109
2012/12/3,103
2012/12/4,117
2012/12/5,117
2012/12/6,129
2012/12/7,151
2012/12/8,138
2012/12/9,99
2012/12/10,99
2012/12/11,137
2012/12/12,126
2012/12/13,112
2012/12/14,145
2012/12/15,113
2012/12/16,90
2012/12/17,121
2012/12/18,129
2012/12/19,119
2012/12/20,137
2012/12/21,149
2012/12/22,105
2012/12/23,67
2012/12/24,74
2012/12/25,51
2012/12/26,91
2012/12/27,102
2012/12/28,102
2012/12/29,82
2012/12/30,101
2012/12/31,83
2013/1/1,73
2013/1/2,65
2013/1/3,107
2013/1/4,99
2013/1/5,73
2013/1/6,72
2013/1/7,83
2013/1/8,92
2013/1/9,89
2013/1/10,120
2013/1/11,136
2013/1/12,74
2013/1/13,74
2013/1/14,94
2013/1/15,109
2013/1/16,101
2013/1/17,110
2013/1/18,140
2013/1/19,102
2013/1/20,79
2013/1/21,57
2013/1/22,97
2013/1/23,104
2013/1/24,119
2013/1/25,122
2013/1/26,113
2013/1/27,91
2013/1/28,98
2013/1/29,100
2013/1/30,108
2013/1/31,116
2013/2/1,132
2013/2/2,105
2013/2/3,71
2013/2/4,88
2013/2/5,117
2013/2/6,110
2013/2/7,103
2013/2/8,108
2013/2/9,82
2013/2/10,80
2013/2/11,87
2013/2/12,95
2013/2/13,113
2013/2/14,109
2013/2/15,139
2013/2/16,87
2013/2/17,89
2013/2/18,82
2013/2/19,111
2013/2/20,82
2013/2/21,108
2013/2/22,118
2013/2/23,113
2013/2/24,89
2013/2/25,97
2013/2/26,115
2013/2/27,123
2013/2/28,103
2013/2/29,103
2013/3/1,111
2013/3/2,103
2013/3/3,93
2013/3/4,114
2013/3/5,99
2013/3/6,103
2013/3/7,109
2013/3/8,134
